"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1985","DUG WELL AT 5 -STAR INDUSTRIAL
ESTATE, VILLAGE-KASHIMIRA , TALUKA-
THANE, DISTRICT-THANE.","MAHARASHTRA","26","29","7.2","7.4","2265","3728","18","20","1.2","12.18","7.8","17","39","240","1970","3170","0.22","0.93","0.00049","0.00049"
"1987","BORE WELL AT VASAI, VILLAGE-
GOKHIWARE, TALUKA- VASAI, DISTRICT-
PALGHAR.","MAHARASHTRA","26","28","7.2","7.3","836","6416","2","4","0.39","1","4.5","17","33","46","546","720","0.2","0.76","0.00049","0.00049"
"1989","BORE WELL AT MWML SITE AT TALOJA,
VILLAGE-KARAWLA- TALOJA,TALUKA-
PANVEL, DISTRICT- RAIGAD.","MAHARASHTRA","27","28","7.3","7.4","2515","2592","3","8","0.79","2.7","1.8","23","70","240","2180","2490","0.2","0.2","0.00049","0.00049"
"1990","BORE WELL AT BMW SITE, VILLAGE-
BURUDGAON ,TALUKA-
AHMEDNAGAR,DISTRICT-AHMEDNAGAR.","MAHARASHTRA","25","27","7.8","8.1","2689","2824","3.2","4","3.48","4.68","4","4.5","40","70","2098","2390","0.2","0.2","0.00049","0.00049"
"1991","BORE WELL AT MSW SITE,VILLAGE-
PATHARDI ,TALUKA- NASHIK,DISTRICT-
NASHIK.","MAHARASHTRA","20","20","7.5","7.5","1410","1410","5.5","5.5","5.75","5.75","12","12","140","140","1056","1056","0.2","0.2","0.00049","0.00049"
"1992","DUG WELL AT MSW SITE, OWNED BY
SHRI. DATTU KONDIBA BORATE AT
BORATE VASTHI, VILLAGE- MOSHI,
PIMPRI CHINCHWAD, TALUKA- HAWELI,
DISTRICT- PUNE.","MAHARASHTRA","27","29","7.5","7.9","615","807","2","2.5","0.39","3.14","21","70","275","900","510","664","0.29","0.42","0.00049","0.00049"
"1993","DUG WELL AT PANDHARPUR, VILLAGE-
PANDHARPUR, TALUKA-GANGAPUR,
DISTRICT - AURANGABAD.","MAHARASHTRA","28","32","7.6","7.9","1745","1774","3.2","6","4.24","5.58","1.8","1.8","17","20","1142","1284","0.82","0.83","0.00049","0.00049"
"1994","DUG WELL AT TPS-DURGAPUR, NEAR
NASEEB KIRANA AND GENERAL STORES,
VILLAGE-DURGAPUR, TALUKA-
CHANDRAPUR, DISTRICT- CHANDRAPUR.","MAHARASHTRA","20","22","7.3","7.5","692","1179","3.2","3.3","0.73","2.69","34","40","280","340","540","888","0.2","0.2","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1995","GRAM PANCHAYATH DUG WELL , NEAR
BALAJI GAJBHIYE HOUSE,VILLAGE-
KHAPERKHEDA ( WARD NO.4) , TALUKA-
SAONER, DISTRICT- NAGPUR.","MAHARASHTRA","19","26","7.6","7.9","610","1150","3","3.2","4.79","5.26","21","24","110","110","470","890","0.2","0.2","0.00049","0.00049"
"1996","GRAM PANCHAYATH DUG WELL , NEAR
JAGADAMBA G. M. S. MANDIR SAHAKARI
SANSTHA, VILLAGE-KORADI,TALUKA-
KAMPTEE, DISTRICT- NAGPUR.","MAHARASHTRA","26","26","8","8","1170","1170","3.4","3.4","0.62","0.62","23","23","150","150","898","898","0.2","0.2","0.00049","0.00049"
"1997","BORE WELL NEAR PRIMARY HEALTH
CENTRE, VILLAGE-RAIPUR,TALUKA-
HINGNA, DISTRICT- NAGPUR.","MAHARASHTRA","19","20","7.6","8.3","546","984","3","3.4","1.13","6.28","26","34","120","170","508","752","0.2","0.2","",""
"1999","BORE WELL NEAR GRAM PANCHAYAT
OFFICE, VILLAGE-CHANGERA,TALUKA-
GONDIA, DISTRICT- GONDIA.","MAHARASHTRA","16","16","7.3","7.3","779","779","4","4","0.3","0.3","22","22","110","110","588","588","0.2","0.2","",""
"2000","DUG WELL NEAR SARODE KIRANA STORE,
VILLAGE-BHANDEWADI,TALUKA-
NAGPUR, DISTRICT- NAGPUR.","MAHARASHTRA","26","26","7.9","7.9","1259","1259","3.4","3.4","0.46","0.46","32","32","220","220","948","948","0.2","0.2","0.00049","0.00049"
"2002","BORE WELL OPP.GAJANAN MAHARAJ
TEMPLE AT ANJANGAON ROAD, VILLAGE-
ANJANGAON,TALUKA- AKOT, DISTRICT-
AKOLA.","MAHARASHTRA","26","26","8","8.1","872","989","3","3.6","0.92","6.07","21","32","220","220","656","764","0.2","0.2","0.00049","0.00049"
"2003","DUG WELL AT PLOT NO- 4, STREET NO.49-
C, AT NEHRU BAL UDYAN AZAD MAIDAN,
OWNED BY YAVATMAL M.C. TALUKA-
YAVATMAL, DISTRICT-YAVATMAL.","MAHARASHTRA","22","22","7.4","8.4","772","898","3.2","3.4","0.4","6.55","21","33","110","350","590","680","0.2","0.2","0.00049","0.00049"
"2004","BORE WELL AT PARVATI INDUSTRIAL
ESTATE, VILLAGE-YADRAV, TALUKA-
SHIROL, DISTRICT- KOLHAPUR.","MAHARASHTRA","28","30","7.6","7.7","1127","2611","2.8","3","0.3","1.18","5.5","7.8","20","27","1068","2248","0.2","0.2","0.00049","0.00049"
"2005","BORE WELL AT KHANJIRENAGAR, VILLAGE
KHANJIRENAGAR,TALUKA-
HATKANANGALE, DISTRICT- KOLHAPUR.","-
MAHARASHTRA","28","30","7.7","7.9","1268","1328","3","3.4","0.3","1.08","5.5","8.3","21","34","1014","1148","0.2","0.2","0.00049","0.00049"
"2006","BORE WELL AT SHINOLI NEAR M/S AQUA
ALLOY STEEL ,MIDC, VILLAGE-SHINOLI,
TALUKA-CHANDGAD, DISTRICT-
KOLHAPUR.","MAHARASHTRA","27","30","7.6","7.7","567","675","3","3","0.3","1.12","6","6.1","24","24","523","536","0.2","0.2","0.00049","0.00049"
"2007","BORE WELL AT SAVALI, NEAR GRAM
PANCHAYAT OFFICE, VILLAGE-SAVALI,
TALUKA- MIRAJ, DISTRICT- SANGLI.","MAHARASHTRA","27","28","7.2","7.2","2593","5892","3","3.6","0.98","4.93","5.6","8.3","21","33","2241","4968","0.2","0.33","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2008","DUG WELL AT SAMBARWADI OWNED BY
SHRI. KISHAN HALI RAJPUT. VILLAGE-
SAMBARWADI, TALUKA- MIRAJ, DISTRICT
SANGLI.","MAHARASHTRA
-","26","28","7.3","7.5","1728","2656","3.2","3.4","1","5.06","6","8.2","24","32","1452","2348","0.2","0.38","0.00049","0.00049"
"2200","BORE WELL AT KATPUR, NEAR Z.P.
SCHOOL, VILLAGE-KATPUR,TALUKA-
PAITHAN,DISTRICT-AURANGABAD.","MAHARASHTRA","28","32","8.2","8.3","2772","2790","2.8","3.6","3.11","7.1","1.8","1.8","2","9","1848","1908","0.29","0.8","0.00049","0.00049"
"2201","DUG WELL AT RANJANGAON, VILLAGE-
RANJANGAON, TALUKA-GANGAPUR,
DISTRICT- AURANGABAD.","MAHARASHTRA","32","32","8.2","8.2","1885","1885","3.6","3.6","5.9","5.9","2","2","25","25","1288","1288","0.38","0.38","0.00049","0.00049"
"2203","HAND PUMP IN THE PREMISES OF ZILLA
PARISHAD PRIMARY SCHOOL, VILLAGE-
BHUGAON,TALUKA- WARDHA,DISTRICT-
WARDHA.","MAHARASHTRA","19","19","8.3","8.3","910","910","3.5","3.5","8.9","8.9","21","21","110","110","711","711","0.2","0.2","",""
"2204","DUG WELL AT
GUNJALWADI,SANGAMNER NEAR
PRIMARY HEALTH CARE CENTER, VILLAGE
GUNJALWADI,TALUKA-
SANGAMNER,DISTRICT-AHMADNAGAR.","-MAHARASHTRA","25","26","7.7","8.2","204","8742","3.2","3.8","1.12","3.84","3.7","4","43","43","158","758","0.2","0.2","0.00049","0.00049"
"2816","DUG WELL OF MR.SAMPAT WALUNJ,
NEAR M/S MAHAJEET CLAYTON, VILLAGE-
SHINDE VILLAGE, TALUKA- NASHIK,
DISTRICT- NASHIK.","MAHARASHTRA","20","20","7.8","7.8","636","636","5.6","5.6","3.06","3.06","11","11","130","130","510","510","0.2","0.2","0.00049","0.00049"
"2817","BORE WELL AT CHITALI NEAR WAGH
VASTHI, VILLAGE- CHITALI, TALUKA-
RAHATA, DISTRICT- AHMEDNAGAR.","MAHARASHTRA","25","26","7.9","8.1","292","820","3","4.8","1.26","3.53","4.5","6","47","84","230","682","0.2","0.2","0.00049","0.00049"
"2819","DUG WELL OWNED BY SHRI DESHMUKH,
VILLAGE- MALEGAON, TALUKA-
BARAMATI, DISTRICT- PUNE.","MAHARASHTRA","27.5","28","7.9","8","2786","3046","2.4","6.5","0.3","2.89","6","45","350","350","2342","2496","0.2","0.38","0.00049","0.00049"
"2820","DUG WELL OWNED BY SHRI SHIVAJI
BABAN DAREKAR, VILLAGE- SANASWADI,
TALUKA- SHIRUR, DISTRICT- PUNE.","MAHARASHTRA","27","27","8.2","8.2","296","296","2.2","2.2","0.32","0.32","45","45","550","550","244","244","0.24","0.24","0.00049","0.00049"
"2821","BORE WELL AT BALE RAILWAY STATION
PREMISES OWNED BY SHRI. DIGAMBAR
JOSHI, VILLAGE- DAHEGAON, TALUKA-
NORTH SOLAPUR, DISTRICT- SOLAPUR.","MAHARASHTRA","30","32","7.4","8","4996","5712","2","6.4","0.55","1.77","14","35","350","350","4098","4788","0.24","0.25","0.00049","0.00049"
"2822","BORE WELL NEAR CHINCHOLI MIDC,
VILLAGE- CHINCHOLI, TALUKA- MOHOL,
DISTRICT- SOLAPUR.","MAHARASHTRA","30","36","7.4","7.8","3113","3214","2","3.6","1.04","2.11","17","25","250","275","2634","2652","0.28","0.42","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2825","BORE WELL AT WAHEGAON, NEAR ZILLA
PARISHAD SCHOOL,VILLAGE-
WAHEGAON,TALUKA-PAITHAN, DISTRICT -
AURANGABAD","MAHARASHTRA","28","32","7.8","8.1","1906","2042","3.4","3.8","6.12","6.18","1.8","1.8","2","17","1574","1782","0.26","0.47","0.00049","0.00049"
"2826","DUG WELL NEAR RAILWAY STATION &
COTTON MARKET, VILLAGE- WARDHA,
TALUKA- WARDHA, DISTRICT- WARDHA.","MAHARASHTRA","19","20","7.5","8.2","613","992","3.3","3.4","6.84","8.4","23","26","110","120","564","768","0.2","0.2","",""
"2828","DUG WELL NEAR ZILLA PARISHAD
PRIMARY SCHOOL, AT VILLAGE- VISAPUR,
TALUKA- BALLARPUR, DISTRICT-
CHANDRAPUR.","MAHARASHTRA","20","22","7.2","7.4","744","1049","3.4","3.4","0.64","3.82","21","32","110","220","585","817","0.2","0.2","0.00049","0.00049"
"2829","BORE WELL AT MIDC, SHIROLI NEAR M/S
PRATIBHA ENTERPRISES, VILLAGE-
SHIROLI,TALUKA-HATKANANGALE,
DISTRICT- KOLHAPUR.","MAHARASHTRA","28","30","7.7","7.7","313","685","3","3.2","0.3","1.11","5.6","8.1","24","32","285","598","0.2","0.2","0.00049","0.00049"
"2830","BORE WELL AT MIDC GOKUL - SHIRGAON,
VILLAGE- GOKUL-SHIRGAON, TALUKA-
KARVIR, DISTRICT - KOLHAPUR.","MAHARASHTRA","26","30","8.2","8.2","317","494","3","3","0.3","1.01","5.6","6.1","21","26","302","389","0.2","0.2","0.00049","0.00049"
"2831","DUG WELL AT SAKHARALI, NEAR MIDC
ISLAMPUR NEAR KRISHNA MILK
INDUSTRY, VILLAGE- SAKHARALI, TALUKA
WALWA, DISTRICT- SANGLI.","MAHARASHTRA
-","28","29","7.7","7.7","915","1538","3","3","1.11","3.85","5.6","9.3","25","38","784","1378","0.2","0.35","0.00049","0.00049"
"2832","DUG WELL NO. 1 AT BRAHMANWADI-
ANJANWEL, OWNED BY SHRI. VAIDYA,
VILLAGE- ANJANWEL, TALUKA-
GUHAGAR, DISTRICT- RATNAGIRI.","MAHARASHTRA","29","29","6.6","6.6","146","146","2.8","2.8","0.54","0.54","5.6","5.6","26","26","118","118","0.2","0.2","0.00049","0.00049"
"2833","DUG WELL NO. 1 OWNED BY GROUP
GRAM PANCHAYAT AT ARKETWADI,
NEAR MASJID, VILLAGE- ARKETWADI,
TALUKA- KHED, DISTRICT- RATNAGIRI.","MAHARASHTRA","29","29","6.5","6.5","9914","9914","4.2","4.2","0.3","0.3","5.6","5.6","31","31","7824","7824","0.2","0.2","0.00049","0.00049"
"2834","DUG WELL NO. 2 AT ARKETWADI,
VILLAGE- ARKETWADI, TALUKA - KHED,
DISTRICT- RATNAGIRI.","MAHARASHTRA","29","29","7.2","7.2","216","216","3.2","3.2","0.67","0.67","13","13","43","43","194","194","0.2","0.2","0.00049","0.00049"
"2835","DUG WELL NO. 2, OWNED BY GROUP
GRAM PANCHAYAT, BRAHMANWADI-
ANJANWEL, VILLAGE- ANJANWEL,
TALUKA- GUHAGAR, DISTRICT-
RATNAGIRI.","MAHARASHTRA","29","29","8","8","155","155","2.8","2.8","0.48","0.48","6.1","6.1","25","25","126","126","0.2","0.2","0.00049","0.00049"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1634","POLICE BAZAR, SHILLONG (POLICE
BAZAAR SPRING)","MEGHALAYA","17","21","6.2","6.3","220","253","1.1","1.2","6.22","10.92","1.8","1.8","70","79","150","172","0.2","0.2","",""
"1635","MAWLAI, SHILLONG (MAWPDANG
SPRING)","MEGHALAYA","16","22","5.6","5.8","254","273","1.3","1.4","9.42","18.02","1.8","1.8","1.8","1.8","175","180","0.2","0.2","",""
"1636","EPIP BYRNIHAT (NARBONG- WELL)","MEGHALAYA","18","19","6.4","6.9","102","132","1","1.1","0.44","0.61","1.8","1.8","1.8","1.8","71","92","0.2","0.2","",""
"1637","SOHRA, CHERRAPUNJEE (WAH U DKHAR -
SPRING)","MEGHALAYA","15","16","5.8","6.1","92","110","1.1","1.3","1.22","4.52","1.8","1.8","1.8","1.8","63","77","0.2","0.2","",""
"1638","SHANGPUNG (UMSAHEP SPRING)","MEGHALAYA","17","17","5.1","5.7","133","145","1","1.2","2.52","8.92","1.8","1.8","1.8","1.8","100","107","0.2","0.2","",""
"3385","MAWTHADRISHAN WELL AT MARKASA","MEGHALAYA","17","18","6.5","6.5","36","40","1.1","1.3","0.32","0.36","1.8","1.8","1.8","1.8","25","29","0.2","0.2","",""
"3386","JAKREM HOT SPRING AT JAKREM","MEGHALAYA","40","41","8.8","9","359","380","1.2","1.3","0.32","0.4","1.8","1.8","1.8","1.8","253","262","20","22","",""
"4323","BOREWELL AT GOOD SHEPHERD PARISH
IN LADRYMBAI","MEGHALAYA","16","17","6.6","6.7","223","230","1.2","1.3","0.32","0.43","1.8","1.8","1.8","1.8","108","154","0.2","0.2","",""
"4324","BOREWELL AT KHLIEHWAH SHASEM - A
IN KHLIEHRIAT","MEGHALAYA","17","18","5.6","5.8","102","110","1.2","1.3","0.86","2.12","1.8","1.8","1.8","1.8","75","76","0.2","0.2","",""
"4325","BOREWELL AT KHLIEHWAH SHASEM - B IN
KHLIEHRIAT","MEGHALAYA","16","17","5.2","5.6","110","123","1","1.1","0.98","1.92","1.8","1.8","1.8","1.8","85","107","0.2","0.2","",""
"4904","DEEP TUBE WELL AT DONGKAMON
NONGMENSONG, SHILLONG","MEGHALAYA","18","21","6.4","6.6","140","166","1.5","1.6","1","1.03","1.8","1.8","23","27","97","113","0.2","0.2","",""
"4905","DUG WELL AT FOREST COLONY, POLO,
SHILLONG","MEGHALAYA","18","22","4.6","6.1","177","180","1.2","1.3","2.02","5.82","1.8","1.8","1.8","1.8","122","138","0.2","0.2","",""
"4906","DEEP TUBE WELL AT LABAN LAST STOP,
SHILLONG","MEGHALAYA","17","21","4.8","5.2","42","54","1","1.2","0.32","0.33","1.8","1.8","1.8","1.8","37","38","0.2","0.2","",""
"Water Quality Data of Ground Water in Mizoram Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2054","RAMHLUN 'N' SPRING WATER, AIZAWL","MIZORAM","19","21","5.7","6.87","490","524","1.3","2.3","28.17","28.38","","","","","398","398","","","",""
"2055","MISSION VENGTHLANG SPRING WATER,
AIZAWL","MIZORAM","20","20","6.5","7.6","497","522","1.2","1.6","28.41","28.48","","","","","","","","","",""
"3725","LUNGLI SPRING WATER, REPUBLIC VENG,
AIZAWL","MIZORAM","17","19","6.4","8.03","301","321","1.1","1.4","27.72","32.06","","","","","","","","","",""
"3726","RAMHLUN 'S' SPRING WATER, NEAR
COMMUNITY HALL, AIZAWL","MIZORAM","19","21","5.9","6.7","497","521","1.2","2.4","28.14","28.21","","","","","","","","","",""
"3727","TUITHIANG VENG SPRING WATER,
AIZAWL","MIZORAM","16","18","6.3","7.25","300","305","1.1","1.3","26.52","31.53","","","","","","","","","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3728","KHURPUI SPRING WATER, SOUTH
HLIMEN, AIZAWL","MIZORAM","18","19","6.73","7.4","59","673","1","1.2","3.59","26.2","","","","","","","","","",""
"3729","CHAWNPUI HAND PUMP, AIZAWL","MIZORAM","21","21","6.7","7.88","448","530","1","1","3.1","3.11","","","","","","","","","",""
"3730","SELESIH HAND PUMP, AIZAWL","MIZORAM","21","22","6.75","7.58","123","247","1","1.3","9.93","28.49","","","","","","","","","",""
"3731","TUIKUAL HAND PUMP, AIZAWL","MIZORAM","20","20","7.38","7.38","555","555","1.4","1.4","34.37","34.37","","","","","","","","","",""
"3732","CHALTLANG HAND PUMP,
NEAR REMI TYRE WORKS, AIZAWL","MIZORAM","21","22","6.86","7","426","453","1","3.8","22.08","25.66","","","","","","","","","",""
"3733","SOUTH HLIMEN HAND PUMP, AIZAWL","MIZORAM","18","19","6.3","7.24","226","268","1","1.5","23.56","26.35","","","","","","","","","",""
"3737","VAITUI SPRING WATER, THEIRIAT ,
LUNGEI","MIZORAM","20","21","6.2","7.1","6","126","1","41","0.41","0.45","","","","","","","","","",""
"3738","SAP TUIKHUR SPRING WATER, SERKAWN,
LUNGLEI","MIZORAM","18","20","6.9","7","76","94","1","1","9.73","10.89","","","","","","","","","",""
"3741","KHURPUI SPRING WATER, LAWNGTLAI","MIZORAM","20","21","6.6","7.1","275","308","1","1.1","14.21","25.93","","","","","","","","","",""
"3742","CHANMARI HAND PUMP, LAWNGTLAI","MIZORAM","21","21","6.3","6.8","113","136","1","1","1.32","1.46","","","","","","","","","",""
"3745","CHHOCHHOPA SPRING WATER, NEW
COLONY, SAIHA","MIZORAM","17","18","6.4","6.9","240","273","1.3","1.3","25.31","29.11","","","","","","","","","",""
"3748","SIHPHIR VENG SPRING WATER, SERCHHIP","MIZORAM","18","20","6.5","7.1","77","270","1","1.1","0.44","0.61","","","","","","","","","",""
"3753","HMAR VENG SPRING WATER, KOLASIB","MIZORAM","14","16","6.1","7","42","165","1","1.5","3.19","3.87","","","","","","","","","",""
"3758","BETHEL VENG HAND PUMP, CHAMPHAI","MIZORAM","18","19","6.2","7.8","52","360","1","1.1","1.43","2.88","","","","","","","","","",""
"4124","ELECTRIC VENG SPRING WATER, LUNGLEI","MIZORAM","19","19","6.2","6.8","174","369","1","1.1","27.48","27.92","","","","","","","","","",""
"4126","PAWHHAWN SPRING WATER,
NR GM HSS, VENGSANG, CHAMPHAI","MIZORAM","18","18","5.5","6.5","190","225","1","1","5.39","6.08","","","","","","","","","",""
"4127","KHURPUI SPRING WATER, NEW COLONY,
SAIHA","MIZORAM","19","20","5.9","6.7","238","332","1","1.1","14.21","27.38","","","","","","","","","",""
"4128","F LALLAWMAWMA WELL, NEW SAIHA,
SAIHA DIST.","MIZORAM","22","24","5.8","6.7","293","381","1","1","26.21","27.59","","","","","","","","","",""
"4129","TUIVAMIT SPRING WATER, AOC VENG,
LAWNGTLAI","MIZORAM","19","20","6.8","7.1","160","249","1","1.2","1.59","2.91","","","","","","","","","",""
"4133","NGHARPET VENG SPRING WATER,
LUNGSIR, MAMIT","MIZORAM","20","21","6.9","7.5","189","195","1","1.4","2.04","2.48","","","","","","","","","",""
"Water Quality Data of Ground Water in Nagaland Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2896","OPENWELL AT KOHIMA VILLAGE ?T? KHEL
(HOUSE NO.21)","NAGALAND","22.4","23.5","7.5","7.6","120","250","","","0.5","0.6","","","","","60","125","0.2","0.2","0.00049","0.00049"
"2897","BOREWELL AT KAMDI BAZAAR","NAGALAND","26","26.6","6.6","7.1","222","241","","","0.5","0.6","","","","","111","120.5","0.2","0.2","0.00049","0.00049"
"2898","OPENWELL AT DOYAPUR NEAR DIMASA
BAPTIST CHURCH","NAGALAND","26.6","28.1","6.5","6.9","160","226","","","0.6","0.7","","","","","80","163","0.21","0.27","0.00049","0.00049"
"2899","BOREWELL AT DHANSIRIPAR NEAR SIBRAI
(SHIV) TEMPLE","NAGALAND","26.2","27.2","7.5","7.9","180","368","","","0.5","0.7","","","","","90","184","0.2","0.25","0.00049","0.00049"
"2900","OPENWELL AT TOULAZOUMA VILLAGE
(HOUSE NO.379)","NAGALAND","24.9","28.1","6.6","7.1","175","292","","","0.5","0.6","","","","","87.5","146","0.2","0.2","0.00049","0.00049"
"2901","OPENWELL AT LUNGWIRAM VILLAGE
NEAR LUNGWIRAM BAPTIST CHURCH","NAGALAND","25.4","28.4","6.8","6.9","101","254","","","0.5","0.6","","","","","50.5","127","0.22","0.24","0.00049","0.00049"
"2902","BOREWELL AT THAHEKHU VILLAGE,
BLOCK 3, NEAR RAILWAY CROSSING","NAGALAND","28.5","28.8","7.1","8.2","125","250","","","0.6","0.7","","","","","62.5","125","0.2","0.2","0.00049","0.00049"
"2903","BOREWELL AT SIGNAL ANGAMI VILLAGE,
HOUSE NO 93","NAGALAND","26.5","28.5","7.5","7.9","100","136","","","0.6","0.9","","","","","50","68","0.2","0.2","0.00049","0.00049"
"2904","OPENWELL NEAR NAGA CEMETERY (OLD),
(HOUSE NO.10)","NAGALAND","24.3","27.7","6.9","7.5","155","430","","","0.7","0.8","","","","","77.5","215","0.2","0.2","0.00049","0.00049"
"2905","BOREWELL AT NPCB, SIGNAL POINT","NAGALAND","24.5","26.5","6.9","7.1","139","350","","","0.5","0.7","","","","","69.5","175","0.2","0.2","0.00049","0.00049"
